year,co2,ch4,n2o
1940,310.375,1088.25,286.725
1941,310.375,1093.75,286.9
1942,310.3,1099,287.1
1943,310.2,1104,287.3
1944,310.125,1109.25,287.525
1945,310.1,1114.75,287.775
1946,310.125,1120.5,288.025
1947,310.2,1126.75,288.275
1948,310.325,1133.25,288.525
1949,310.5,1140,288.775
1950,310.75,1147.25,289
1951,311.1,1155,289.2
1952,311.5,1163.5,289.425
1953,311.925,1172.75,289.675
1954,312.425,1182.25,289.9
1955,313,1192,290.125
1956,313.6,1202.25,290.375
1957,314.225,1213,290.6
1958,314.8475,1224,290.825
1959,315.5,1235.25,291.1
1960,316.2725,1247,291.4
1961,317.075,1259.25,291.675
1962,317.795,1272,291.925
1963,318.3975,1285,292.225
1964,318.925,1298.25,292.6
1965,319.6475,1312,293
1966,320.6475,1326,293.4
1967,321.605,1340.25,293.8
1968,322.635,1355,294.225
1969,323.9025,1370.25,294.7
1970,324.985,1385.75,295.2
1971,325.855,1401.25,295.7
1972,327.14,1417,296.225
1973,328.6775,1433,296.8
1974,329.7425,1449,297.4
1975,330.585,1465,298
1976,331.7475,1481,298.65
1977,333.2725,1497.25,299.36
1978,334.8475,1513.75,300.0825
1979,336.525,1530.25,300.74
1980,338.36,1547.75,301.3825
1981,339.7275,1566.75,302.22
1982,340.7925,1586.25,303.0975
1983,342.1975,1605.845,303.805
1984,343.7825,1623.705,304.3975
1985,345.2825,1637.9925,305.0875
1986,346.7975,1650.435,305.7725
1987,348.645,1662.2,306.2625
1988,350.7375,1673.07,307.195
1989,352.4875,1683.47,308.5075
1990,353.855,1693.63,309.485
1991,355.0175,1703.8175,310.1125
1992,355.885,1711.8,310.6025
1993,356.7775,1716.29,311.0775
1994,358.1275,1721.0125,311.6025
1995,359.8375,1726.35,312.295
1996,361.4625,1730.01,313.0475
1997,363.155,1734.8175,313.76
1998,365.3225,1742.71,314.5325
1999,367.3475,1749.2425,315.2575
2000,368.865,1751.0225,315.85
2001,370.4675,1750.7075,316.4875
2002,372.5225,1752.1875,317.245
2003,374.76,1754.76,318.0175
2004,376.8125,1755.065,318.71
2005,378.8125,1753.735,319.44
2006,380.8275,1754.512,320.19967
2007,382.7775,1758.046,320.89539
2008,384.8,1763.4195,321.60419
2009,387.01226,1770.4425,322.32619
2010,389.32416,1778.6749,323.06113
2011,391.63801,1788.0274,323.80912
