year,totalhuman,co2,ch4,n2o
1865,0.18467733,0.18767253,0.059013289,0.014858158
1866,0.18020371,0.1895378,0.059987192,0.015198487
1867,0.17512323,0.19140242,0.060821037,0.015538754
1868,0.17626413,0.19373219,0.061654089,0.015878959
1869,0.18232298,0.19652669,0.062486348,0.016219102
1870,0.18700396,0.19931973,0.063456243,0.016474173
1871,0.18212782,0.2025763,0.06442522,0.016644198
1872,0.16392822,0.20629582,0.065254856,0.0168992
1873,0.14990102,0.21047702,0.06608371,0.017239155
1874,0.15249886,0.21558294,0.066911783,0.017579049
1875,0.15924699,0.22114773,0.067876811,0.017833934
1876,0.16710546,0.22716948,0.068840934,0.018003834
1877,0.17965835,0.23410923,0.069666423,0.018258649
1878,0.19053248,0.24150205,0.070491141,0.018598356
1879,0.19585594,0.24934541,0.07131509,0.018938001
1880,0.1937272,0.25809794,0.072275322,0.019277584
1881,0.19571685,0.26729609,0.073371541,0.019617105
1882,0.20764228,0.27602009,0.074466406,0.019956564
1883,0.21710044,0.28427149,0.075559923,0.020295961
1884,0.2249431,0.29251018,0.076515721,0.020635296
1885,0.23566528,0.29982345,0.077334097,0.02097457
1886,0.24440116,0.30575788,0.078287847,0.021313781
1887,0.24843665,0.31077419,0.079376682,0.021568155
1888,0.24494393,0.31487495,0.08046419,0.021737714
1889,0.24603871,0.31851727,0.081550376,0.021992019
1890,0.24842658,0.32170241,0.082635245,0.022331045
1891,0.24600666,0.32443091,0.083854061,0.022670009
1892,0.24573889,0.32715801,0.085206464,0.023008912
1893,0.24612343,0.32942964,0.086421978,0.023263055
1894,0.24555958,0.33124617,0.087500976,0.02343246
1895,0.24343987,0.33306208,0.088713214,0.02360185
1896,0.24397357,0.33487737,0.090058337,0.023771224
1897,0.24709122,0.33714553,0.091267325,0.024025251
1898,0.25077282,0.34077243,0.092474518,0.024279255
1899,0.25418154,0.34575562,0.093814058,0.024448568
1900,0.25791651,0.35118677,0.095285159,0.024702503
1901,0.25973949,0.35706406,0.097153892,0.025041036
1902,0.26166118,0.36338651,0.099285208,0.025379508
1903,0.26349998,0.36970149,0.10154412,0.025717919
1904,0.26587735,0.37645901,0.10393001,0.026056268
1905,0.27030438,0.38410722,0.1063097,0.026394556
1906,0.27307219,0.39219378,0.10868323,0.026732783
1907,0.27553747,0.3998202,0.11105066,0.027155471
1908,0.28523707,0.4069878,0.11354286,0.027662581
1909,0.29769283,0.41414581,0.11615918,0.028169554
1910,0.30438406,0.42129426,0.11863804,0.028676389
1911,0.31434485,0.42798755,0.12098018,0.029183087
1912,0.32784531,0.43422682,0.1234459,0.029774048
1913,0.33847319,0.44045882,0.12616363,0.030364848
1914,0.3514688,0.44623943,0.12900253,0.030871089
1915,0.36578181,0.45156962,0.13183288,0.031461517
1916,0.3740792,0.45733777,0.13465476,0.032136078
1917,0.38058034,0.46354294,0.13746822,0.032894653
1918,0.38910164,0.46929869,0.14040048,0.033737172
1919,0.40323186,0.47460598,0.14345081,0.034495133
1920,0.41402184,0.48034937,0.1463651,0.035252753
1921,0.425861,0.48696871,0.14914421,0.036094213
1922,0.43931982,0.49358042,0.15204086,0.036851222
1923,0.43874124,0.49974374,0.15505438,0.037523848
1924,0.44144694,0.50677828,0.15805851,0.038196232
1925,0.45307756,0.51468174,0.16105333,0.038868376
1926,0.4637363,0.52213573,0.16403893,0.039624234
1927,0.47066961,0.52957874,0.1670154,0.040379821
1928,0.47787279,0.53788518,0.16998281,0.04096729
1929,0.48668409,0.54617941,0.17281833,0.04155455
1930,0.49818014,0.55402496,0.17552275,0.042141653
1931,0.51564969,0.56229357,0.17821976,0.042644727
1932,0.53379881,0.5705501,0.18090941,0.043231463
1933,0.54694856,0.57792673,0.18359176,0.043901811
1934,0.55480904,0.5848599,0.18614559,0.04457192
1935,0.56297859,0.59178409,0.18857157,0.04524179
1936,0.56925783,0.59783591,0.19099166,0.045911423
1937,0.57566193,0.60215445,0.19340589,0.04649717
1938,0.58955637,0.60517523,0.19581431,0.046999082
1939,0.59976398,0.60733189,0.19821696,0.047500862
1940,0.60040981,0.60862547,0.20073343,0.048002507
1941,0.59760078,0.60862547,0.20336316,0.048587579
1942,0.59431171,0.60733189,0.20586714,0.049256026
1943,0.59299835,0.60560671,0.20824599,0.049924236
1944,0.59123056,0.6043125,0.21073766,0.050675674
1945,0.59027107,0.60388103,0.21334159,0.051510273
1946,0.58655836,0.6043125,0.21605664,0.052344504
1947,0.57895654,0.60560671,0.21899962,0.053178367
1948,0.57260652,0.60776302,0.22205156,0.054011863
1949,0.57287846,0.6107804,0.22521114,0.054844993
1950,0.57404745,0.61508782,0.22859401,0.055594512
1951,0.56168656,0.62111239,0.23219799,0.056260489
1952,0.55003428,0.62798987,0.23613618,0.057009416
1953,0.55008287,0.63528723,0.24040525,0.05784123
1954,0.55199419,0.64385931,0.24477186,0.058589566
1955,0.55514058,0.65370065,0.24923433,0.059337575
1956,0.55891851,0.66395102,0.25390536,0.060168369
1957,0.56328276,0.67460724,0.25878219,0.06091579
1958,0.57218953,0.68520067,0.26374965,0.061662883
1959,0.59040482,0.69628068,0.26880593,0.0625756
1960,0.61266012,0.7093687,0.27406162,0.063570813
1961,0.61854867,0.72293323,0.27951378,0.064482654
1962,0.61973921,0.73507442,0.28515948,0.065311204
1963,0.63015159,0.74521338,0.29088615,0.066304945
1964,0.6407826,0.75407365,0.29669196,0.067546421
1965,0.65706711,0.76618156,0.30268459,0.0688698
1966,0.67900631,0.7828982,0.30875326,0.070192262
1967,0.69847938,0.79886038,0.31489612,0.071513808
1968,0.72107279,0.81597004,0.32121912,0.072916921
1969,0.75401956,0.83695475,0.32771921,0.074483888
1970,0.79442908,0.85481939,0.33428801,0.076131978
1971,0.83539343,0.86912845,0.340819,0.077778651
1972,0.87201267,0.89018132,0.34741694,0.0795061
1973,0.90516124,0.91528331,0.35408128,0.081396286
1974,0.93091733,0.93260715,0.36070732,0.083366714
1975,0.95288509,0.94626302,0.36729571,0.085335125
1976,0.97560691,0.96504571,0.37384707,0.08746521
1977,1.0046644,0.9895882,0.38046324,0.08978931
1978,1.0440764,1.0148272,0.38714369,0.092151471
1979,1.0880973,1.0415665,0.39378667,0.094298737
1980,1.1248442,1.0706749,0.40079084,0.096394503
1981,1.1482957,1.0922769,0.40834992,0.09912273
1982,1.1638797,1.1090268,0.41605956,0.10197773
1983,1.1851636,1.131041,0.42375755,0.10427651
1984,1.2172613,1.1557767,0.43073397,0.10619951
1985,1.2518596,1.1790812,0.43628635,0.1084362
1986,1.2856954,1.2025127,0.44110016,0.11065469
1987,1.3218259,1.23094,0.44563499,0.11223995
1988,1.36554,1.2629696,0.44980999,0.11525192
1989,1.4086327,1.289621,0.45379128,0.11948553
1990,1.4446482,1.3103479,0.45766844,0.12263292
1991,1.4670094,1.3279065,0.46154394,0.12465054
1992,1.4775542,1.3409723,0.46457339,0.12622447
1993,1.4940154,1.354375,0.4662739,0.127749
1994,1.5197768,1.3745818,0.46805929,0.12943256
1995,1.556472,1.400075,0.47007482,0.13165093
1996,1.5943539,1.4241974,0.47145507,0.13405903
1997,1.6194694,1.4491927,0.47326497,0.13633628
1998,1.6440801,1.4810336,0.47623115,0.13880228
1999,1.6706331,1.5106359,0.47868222,0.1411141
2000,1.6863253,1.5327048,0.47934927,0.14300134
2001,1.7049748,1.5559009,0.4792313,0.1450297
2002,1.7387641,1.5854995,0.47978539,0.14743728
2003,1.7752675,1.6175545,0.48074821,0.14988963
2004,1.8072955,1.6467939,0.48086234,0.15208552
2005,1.8404652,1.675125,0.48036474,0.15439741
2006,1.8795475,1.7035227,0.4806562,0.15680074
2007,1.9196843,1.7308597,0.48168977,0.1589804
2008,1.9602387,1.7590634,0.48285328,0.1611616
2009,2.0027598,1.7889061,0.48411667,0.16334486
2010,2.0454515,1.8189254,0.48535545,0.16552924
